,Z_k,CDF_worst,CDF_nominal
0,-0.0016999999999999988,0.18055555555555555,0.08333333333333333
1,-0.0004000000000000003,0.3611111111111111,0.16666666666666666
2,0.0031999999999999993,0.5416666666666666,0.25
3,0.005300000000000002,0.6666666666666666,0.3333333333333333
4,0.008100000000000001,0.7083333333333333,0.41666666666666663
5,0.010499999999999999,0.7499999999999999,0.49999999999999994
6,0.0142,0.7916666666666665,0.5833333333333333
7,0.014600000000000002,0.8333333333333331,0.6666666666666666
8,0.0158,0.8749999999999998,0.75
9,0.0186,0.9166666666666664,0.8333333333333334
10,0.019700000000000002,0.958333333333333,0.9166666666666667
11,0.022200000000000004,0.9999999999999997,1.0
